Suburb,Location,lon,lat,Postcode
Preston,"Bell Street at the intersection of Bell Street and Plenty Road, Preston,Vic, Australia",145.0003173,-37.7455504,3072
Preston,"Intersection of Bell Street and Gilbert Road, Preston,Vic, Australia",144.9891816,-37.743718,3072
Preston,"Gilbert Road at the intersection of Gilbert Road and Murray Road, Preston,Vic, Australia",145.0051915,-37.7381072,3072
Avalon,"Princes Freeway, Avalon Road Bridge, Geelong Bound, Avalon,Vic, Australia",144.3598426,-38.1492994,3212
Lara,"Princes Freeway, Avalon Road Bridge, Melbourne Bound, Lara,Vic, Australia",144.4304949,-38.0303647,3212
Little River,"Princes Freeway, Point Wilson Road Bridge, Melbourne Bound, Little River,Vic, Australia",144.7088093,-37.8941229,3211
Point Wilson,"Princes Freeway, Point Wilson Road Bridge, Geelong Bound, Point Wilson,Vic, Australia",144.5302575,-38.0032346,NA
Ringwood,"Ringwood Street at the intersection of Ringwood Street and Maroondah Highway, Ringwood,Vic, Australia",145.2273134,-37.8088546,3134
Ringwood,"At the intersection of Maroondah Highway and Mount Dandenong Road, Ringwood,Vic, Australia",145.2373846,-37.8109852,3134
Ringwood,"At the intersection of Maroondah Highway and Ringwood Bypass, Ringwood,Vic, Australia",145.2373846,-37.8109852,3134
Ripponlea,"At the intersection of Brighton Road and Glen Eira Road, Ripponlea,Vic, Australia",144.9920961,-37.8763818,3185
Rosanna,"At the intersection of Rosanna Road and Banyule Road, Northbound,Rosanna,Vic, Australia",145.0725034,-37.7428565,3084
Rowville,"Stud Road at the intersection of Stud Road and Wellington Road, Rowville,Vic, Australia",145.2329411,-37.9279254,3178
Sale,"York Street at the intersection of York Street and MacArthur Street, Sale,Vic, Australia",147.0680482,-38.1051139,3850
Scoresby,"Stud Road at the intersection of Stud Road and Ferntree Gully Road, Scoresby,Vic, Australia",145.2331758,-37.8990368,3179
Seaford,"Frankston Freeway off ramp at the intersection of Frankston Freeway off ramp and Dandenong-Frankston Road, Seaford,Vic, Australia",145.1320575,-38.128149,3198
Shepparton,"Wyndham Street at the intersection of Wyndham Street and High Street, Shepparton,Vic, Australia",145.3992353,-36.3811518,3630
South Geelong,"At the intersection of Moorabool Street and Fyans Street, South Geelong,Vic, Australia",144.3541106,-38.1617039,3220
South Geelong,"Latrobe Terrace at the intersection of Latrobe Terrace and Fyans Street, South Geelong,Vic, Australia",144.3501903,-38.1603787,3220
South Melbourne,"City Road at the intersection of City Road and Montague Street, South Melbourne,Vic, Australia",144.9520422,-37.832769,3205
South Melbourne,"Kings Way at the intersection of Kings Way and Park Street, South Melbourne,Vic, Australia",144.9679408,-37.8333852,3205
South Yarra,"Punt Road at the intersection of Punt Road and Toorak Road, South Yarra,Vic, Australia",144.9865248,-37.8383096,3141
South Yarra,"Alexandra Avenue at the intersection of Alexandra Avenue and Church Street, South Yarra,Vic, Australia",144.9965562,-37.8347662,3141
St Kilda,"St Kilda Road at the intersection of St Kilda Road and Fitzroy Street, St Kilda,Vic, Australia",144.9825715,-37.8568739,3182
St Kilda,"Dandenong Road at the intersection of Dandenong Road and Chapel Street, St Kilda,Vic, Australia",144.9923054,-37.8575146,3182
St Kilda,"At the intersection of Fitzroy Street and Princes Street, St Kilda,Vic, Australia",144.9758057,-37.8075193,3182
St Kilda,"Barkly Street at the intersection of Barkly Street and Carlisle Street, St Kilda,Vic, Australia",144.9812167,-37.8671653,3182
St Kilda,"Alma Road at the intersection of Alma Road and Chapel Street, St Kilda,Vic, Australia",144.9916087,-37.8614522,3182
St Kilda,"Fitzroy Street at the interseciton of Fitzroy Street and Lakeside Drive, St Kilda,Vic, Australia",144.9803354,-37.8580182,3182
St Kilda East,"Hotham Street at the intersection of Hotham Street and Balaclava Road, St Kilda East,Vic, Australia",144.9994412,-37.8695159,3183
Strathdale,"At the intersection of McIvor Road and Reservoir Road, Strathdale,Vic, Australia",144.5074358,-36.7907051,3550
Strathmore,"At the intersection of Pascoe Vale Road and Peck Avenue, Strathmore,Vic, Australia",144.923866,-37.730044,3041
Surrey Hills,"Intersection of Canterbury Road and Warrigal Road, Surrey Hills,Vic, Australia",145.0999289,-37.8262473,3127
Surrey Hills,"Union Road at the intersection of Union Road and Mont Albert Road, Surrey Hills,Vic, Australia",145.0983132,-37.8204649,3127
Surrey Hills,"Mont Albert Road at the intersection of Mont Albert Road and Union Road, Surrey Hills,Vic, Australia",145.0983132,-37.8204649,3127
Taylors Lakes,"Kings Road at the intersection of Kings Road and Melton Highway, Taylors Lakes,Vic, Australia",144.7811324,-37.6974338,3038
Templestowe Lower,"Manningham Road at the intersection of Manningham Road and Macedon Road, Templestowe Lower,Vic, Australia",145.112203,-37.7733747,3107
Templestowe Lower,"High Street at the intersection of High Street and Verene Avenue, Templestowe Lower,Vic, Australia",145.1185217,-37.767988,3107
Thomastown,"Mahoneys Road at the intersection of Mahoneys Road and High Street, Thomastown,Vic, Australia",145.0114736,-37.6949647,3074
Thornbury,"Intersection of St Geroges Road and Normanby Avenue, Thornbury,Vic, Australia",144.9935345,-37.758795,3071
Thornbury,"St Georges Road at the interseciton of ST Georges Road and Normanby Avenue, Thornbury,Vic, Australia",144.9935345,-37.758795,3071
Vermont,"At the intersection of Canterbury Road and Mitcham Road, Vermont,Vic, Australia",145.1955444,-37.8360957,3133
Vermont South,"Burwood Highway at the intersection of Burwood Highway and Springvale Road, Vermont South,Vic, Australia",145.0804351,-37.851634,3133
Wantirna,"Mountain Highway at the intersection of Mountain Highway and Wantirna Road, Wantirna,Vic, Australia",145.2272312,-37.8489598,3152
Wantirna,"Boronia Road at the intersection of Boronia Road and Wantirna Road, Wantirna,Vic, Australia",145.2270361,-37.8475377,3152
Wantirna South,"Burwood Highway at the intersection of Burwood Highway and Stud Road, Wantirna South,Vic, Australia",145.23518,-37.8688133,3152
Wantirna South,"High Street Road at the intersection of High Street Road and Stud Road, Wantirna South,Vic, Australia",145.233046,-37.8770443,3152
Warrnambool,"Raglan Parade at the intersection of Raglan Parade and Mahoneys Road, Warrnambool,Vic, Australia",142.5329627,-38.3846781,3280
Watsonia,"Greensborough Highway at the intersection of Greensborough Highway and Grimshaw Street, Watsonia,Vic, Australia",145.0919291,-37.7033839,3087
Watsonia North,"Grimshaw Street at the intersection of Grimshaw Street and Macorna Street, Watsonia North,Vic, Australia",145.084152,-37.7025655,3087
West Melbourne,"King Street at the intersection of King Street and Hawke Street, West Melbourne,Vic, Australia",144.9488016,-37.8054771,3003
West Melbourne,"LaTrobe Street at the intersection of LaTrobe Street and Spencer Street, West Melbourne,Vic, Australia",144.9690059,-37.8113181,3003
West Melbourne,"Peel Street at the intersection of Peel Street and Victoria Street, West Melbourne,Vic, Australia",144.9560961,-37.805801,3003
West Melbourne,"At the intersection of Spencer Street and Dudley Street, West Melbourne,Vic, Australia",144.9498898,-37.8101013,3003
West Melbourne,"Intersection of King Street and LaTrobe Street, West Melbourne,Vic, Australia",144.9542915,-37.8181655,3003
Ardeer,"Western Ring Road, Southbound Western Highway North Side Gantry, Ardeer,Vic, Australia",143.4859675,-37.4394559,3022
Broadmeadows,"Western Ring Road, Eastbound West of Sydney Road, Broadmeadows,Vic, Australia",144.9304955,-37.6938369,3047
Deer Park,"Western Ring Road, Northbound Western Highway Off Ramp, South Side Gantry, Deer Park,Vic, Australia",144.7734054,-37.7699651,3023
Keilor East,"Western Ring Road, Northbound Keilor Park Drive, Keilor East,Vic, Australia",144.8511398,-37.7305188,3033
Keilor Park,"Western Ring Road, Southbound, Fullarton Road Bridge, Keilor Park,Vic, Australia",144.8636035,-37.7248909,3042
Laverton North,"Western Ring Road, Northbound Boundary Road South Side Gantry, Laverton North,Vic, Australia",144.7882664,-37.8135704,3026
Sunshine West,"Western Ring Road, Southbound Boundary Road, North Side Gantry, Sunshine West,Vic, Australia",144.8045079,-37.8149428,3020
Glenroy,"Western Ring Road, Glenroy, Westbound, approximately 600 metres West of Sydney Road,Vic, Australia",143.3906074,-36.9847807,3046
Williams Landing,"Intersection of Princess Freeway and Forsyths Road Bridge, Williams Landing,Vic, Australia",144.7368627,-37.8734501,3027
Wodonga,"Lincoln Causeway at the intersection of Lincoln Causeway and Hume Highway ramp, Wodonga,Vic, Australia",146.9131737,-36.0988729,3690
Yarraville,"Williamstown Road at the intersection of Williamstown Road and Somerville Road, Yarraville,Vic, Australia",144.8834656,-37.8128243,3013
Yarraville,"At the intersection of Francis Street and Wembley Avenue, Yarraville,Vic, Australia",144.8740976,-37.8193335,3013
Yarraville,"Somerville Road at the intersection of Somerville Road and Geelong Road, Yarraville,Vic, Australia",144.868821,-37.811132,3013
Yarraville,"At the intersection of Francis Street and Wembley Avenue, Yarraville,Vic, Australia",144.8740976,-37.8193335,3013
