Suburb,Location,lon,lat,Postcode
Cheltenham,"Park Road at the intersection of Park Road and Charman Road, Cheltenham,Vic, Australia",145.0557,-37.9654119,3192
Cheltenham,"Warrigal Road at the intersection of Warrigal Road and Centre Dandenong Road, Cheltenham,Vic, Australia",145.0742261,-37.967668,3192
Cremorne,"CityLink, Burnley Tunnel approximately 2140 metres after tunnel entrance, Cremorne,Vic, Australia",145.0039905,-37.8299625,3121
Southbank,"CityLink, Burnley Tunnel approximately 430 metres after tunnel entrance, Southbank,Vic, Australia",145.0039905,-37.8299625,3006
Melbourne,"CityLink, Domain Tunnel, Southbank, approximately 1195 after tunnel entrance, Melbourne,Vic, Australia",144.9662135,-37.8264939,3000
Melbourne,"CityLink, Domain Tunnel approximately 725m after tunnel entrance, Melbourne,Vic, Australia",144.9754615,-37.8251222,3000
Clayton,"Centre Road at the intersection of Centre Road and Buckland Street, Clayton,Vic, Australia",145.1318546,-37.9301401,3168
Clayton,"Intersection of Wellington Road and Blackburn Road, Clayton,Vic, Australia",145.1402572,-37.9161703,3168
Clayton South,"Centre Road at the intersection of Centre Road and Springs Road, Clayton South,Vic, Australia",145.1099092,-37.9274289,3169
Coburg,"At the intersection of Murray Road and Elizabeth Street, Coburg,Vic, Australia",144.9828923,-37.7359512,3058
Coburg,"Harding Street at the intersection of Sydney Road, Coburg,Vic, Australia",144.9661247,-37.7439852,3058
Coburg,"Munro Street at the intersection of Munro Street and Sydney Road, Coburg,Vic, Australia",144.9661247,-37.7439852,3058
Coburg,"Gaffney Street at the intersection of Gaffney Street and Sydney Road, Coburg,Vic, Australia",144.9653552,-37.7339789,3058
Collingwood,"Hoodle Street at the intersection of Hoddle Street and Johnston Street, Collingwood,Vic, Australia",144.9931124,-37.7998429,3066
Collingwood,"Johnston Street at the intersection of Johnston Street and Hoddle Street, Collingwood,Vic, Australia",144.9931124,-37.7998429,3066
Collingwood,"Johnston Street at the intersection of Johnston Street and Wellington Street, Collingwood,Vic, Australia",144.9873448,-37.7992777,3066
Coolaroo,"Pascoe Vale Road at the intersection of Pascoe Vale Road and Reservoir Drive, Coolaroo,Vic, Australia",144.9290482,-37.6437722,3048
Corio,"At the intersection of Princes Highway and Station Street, Corio,Vic, Australia",144.3687611,-38.0753878,3214
Cranbourne North,"South Gippsland Highway at the intersection of South Gippsland Highway and Thompsons Road, Cranbourne North,Vic, Australia",145.2766059,-38.0822809,3977
Croydon,"Mt Dandenong Road at the intersection of Mt Dandenong Road and Dorset Road, Croydon,Vic, Australia",145.2896824,-37.799771,3136
Dallas,"Barry Road at the intersection of Barry Road and King Street, Dallas,Vic, Australia",144.9424097,-37.6659997,3047
Dandenong,"Stud Road at the intersection of Stud Road and Heatherton Road, Dandenong,Vic, Australia",145.2235588,-37.9710865,3175
Dandenong,"Foster Street at the intersection of Foster Street and McCrae Street, Dandenong,Vic, Australia",145.2179999,-37.9886519,3175
Dandenong,"Princes Highway at the intersection of Princes Highway and Gladstone Road, Dandenong,Vic, Australia",145.2035246,-37.9752951,3175
Dandenong,"Lonsdale Street at the intersection of Lonsdale Street and Webster Street, Dandenong,Vic, Australia",145.216124,-37.9927366,3175
Dandenong North,"Gladstone Road at the intersection of Gladstone Road and Heatherton Road, Dandenong North,Vic, Australia",145.2050499,-37.9688667,3175
Doncaster,"Victoria Street at the intersection of Victoria Street and Doncaster Road, Doncaster,Vic, Australia",145.143745,-37.7869282,3108
Doncaster,"Williamsons Road at the intersection of Williamsons Road and Doncaster Road, Doncaster,Vic, Australia",145.1249882,-37.7873241,3108
Doveton,"Heatherton Road at the intersection of Heatherton Road and Monash Freeway, Doveton,Vic, Australia",145.2420538,-37.9790034,3177
East Melbourne,"Nicholson Street at the intersection of Nicholson Street and Albert Street, East Melbourne,Vic, Australia",144.9796605,-37.7707533,3002
East Melbourne,"Nicholson Street at the intersection of Nicholson Street and Victoria Parade, East Melbourne,Vic, Australia",144.9690059,-37.8113181,3002
East Melbourne,"Hoddle Street at the intersection of Hoddle Street and Wellington Parade, East Melbourne,Vic, Australia",144.9900648,-37.8173996,3002
East Melbourne,"Hoddle Street at the intersection of Hoddle Street and Victoria Parade, East Melbourne,Vic, Australia",144.9690059,-37.8113181,3002
Donvale,"EastLink, Mullum Mullum Tunnel, approximately 600m prior to tunnel exit, Donvale,Vic, Australia",145.21171,-37.8082775,3111
Donvale,"EastLink, Melba Tunnel, approximately 500m prior to tunnel exit, Donvale,Vic, Australia",145.211598,-37.8085763,3111
Keysborough,"EastLink Southbound, Dandenong Bypass Bridge, Keysborough,Vic, Australia",145.1684862,-37.9981048,3173
Keysborough,"EastLink Northbound, Dandenong Bypass Bridge, Keysborough,Vic, Australia",145.1684862,-37.9981048,3173
Rowville,"EastLink Southbound, Wellington Road Bridge, Rowville,Vic, Australia",145.2131225,-37.9251649,3178
Rowville,"EastLink Northbound, Wellington Road Bridge, Rowville,Vic, Australia",145.2131225,-37.9251649,3178
Echuca,"Ogilvie Avenue at the intersection of Ogilvie Avenue and High Street, Echuca,Vic, Australia",144.7511007,-36.140435,3564
Elsternwick,"Glen Eira Road at the intersectionfo Glen Eira Road and Hotham Street, Elsternwick,Vic, Australia",144.9980035,-37.8769167,3185
Endeavour Hills,"Heatherton Road at the intersection of Heatherton Road and Monash Freeway, Endeavour Hills,Vic, Australia",145.2449618,-37.9820733,3802
Eumemmerring,"Princes Highway at the intersection of Princes Highway and South Gippsland Freeway, Eumemmerring,Vic, Australia",145.2270686,-38.0006588,3177
Fairfield,"Intersection of Heidelberg Road and Station Street, Fairfield,Vic, Australia",145.0174076,-37.7833538,3078
Ferntree Gully,"Burwood Highway at the intersection of Burwood Highway and Brenock Park Drive, Ferntree Gully,Vic, Australia",145.29448,-37.8886218,3156
Fitzroy,"Alexandra Parade at the intersection of Alexandra Parade and Brunswick Street, Fitzroy,Vic, Australia",144.9792999,-37.7934331,3065
Fitzroy North,"Alexandra Parade at the intersection of Alexandra Parade and Smith Street, Fitzroy North,Vic, Australia",144.9851734,-37.7937197,3068
Fitzroy North,"Alexandra Parade at the intersection of Alexandra Parade and George Street, Fitzroy North,Vic, Australia",144.9828037,-37.7934615,3068
Footscray,"Geelong Road at the intersection of Geelong Road and Droop Street, Footscray,Vic, Australia",144.8969046,-37.7964207,3011
Footscray,"Gordon Street at the intersection of Gordon Street and Barkly Street, Footscray,Vic, Australia",144.8892789,-37.7986009,3011
Forest Hill,"At the intersection of Springvale Road and Canterbury Road, Forest Hill,Vic, Australia",145.1726046,-37.8348316,3131
Frankston,"Nepean Highway at the intersection of Nepean Highway and Davey Street, Frankston,Vic, Australia",145.1199389,-38.1451673,3199
Frankston,"Dandenong-Frankston Road at the intersection of Dandenong-Frankston Road and Skye Road, Frankston,Vic, Australia",145.1319612,-38.1302076,3199
Geelong West,"Intersection of Church Street and Shannon Avenue, Geelong West,Vic, Australia",144.3382884,-38.1306843,3218
Glen Iris,"High Street at the intersection of High Street and Summerhill Road, Glen Iris,Vic, Australia",145.074583,-37.8627848,3146
Glen Iris,"Monash Freeway, Northbound approximately 290m south of High Street, Glen Iris,Vic, Australia",145.0922606,-37.8651289,3146
Glen Iris,"Monash Freeway, Southbound approximately 470m south of High Street, Glen Iris,Vic, Australia",145.0658535,-37.8617945,3146
Glen Waverley,"Springvale Road at the intersection of Springvale Road and High Street Road, Glen Waverley,Vic, Australia",145.1669204,-37.8744572,3150
Glen Waverley,"Intersection of Blackburn Road and High Street, Glen Waverley,Vic, Australia",145.1483923,-37.8722061,3150
Glen Waverley,"Intersection of Waverley Road and Blackburn Road, Glen Waverley,Vic, Australia",145.1456315,-37.8867205,3150
Greensborough,"Greensborough Highway at the intersection of Greensborough Highway and Grimshaw Street, Greensborough,Vic, Australia",145.0919291,-37.7033839,3088
Grovedale,"Princes Highway at the intersection of Princes Highway and Pioneer Road, Grovedale,Vic, Australia",144.3186468,-38.1967271,3216
Hallam,"Princes Highway at the intersection of Princes Highway and Fitzgerald Road, Hallam,Vic, Australia",145.2786045,-38.0087254,3803
Hampton Park,"Hallam Road at the intersection of Hallam Road and Fordholm Road, Hampton Park,Vic, Australia",145.2671593,-38.0356711,3976
Hawthorn,"At the intersection of Barkers Road and Glenferrie Road, Hawthorn,Vic, Australia",145.0368346,-37.8146936,3122
Hawthorn,"Glenferrie Road at the intersection of Glenferrie Road and Burwood Road, Hawthorn,Vic, Australia",145.0353519,-37.8226083,3122
Heidelberg,"Intersection-Rosanna-Road-and-Darebin-Street-Northbound-Heidelberg,Vic, Australia",145.0699711,-37.7546347,3084
Heidelberg,"Intersection of Rosanna Road and Darebin Street, Southbound, Heidelberg,Vic, Australia",145.0699711,-37.7546347,3084
Highett,"Nepean Highway at the intersection of Nepean Highway and Highett Road, Highett,Vic, Australia",145.0459137,-37.9491379,3190
Highett,"Nepean Highway at the intersection of Nepean Highway and Karen Street, Highett,Vic, Australia",145.0518986,-37.9575044,3190
Highett,"Intersection of Nepean Highway and Highett Road, Highett,Vic, Australia",145.0459137,-37.9491379,3190
Beveridge,"Hume Freeway, Northbound Mount Fraser, Beveridge,Vic, Australia",144.9718591,-37.4772095,3753
Beveridge,"Hume Freeway, Southbound Mount Fraser, Beveridge,Vic, Australia",144.9718591,-37.4772095,3753
